!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z
402 -426.1165 -255.4046 -0.0000
403 -438.1346 -234.1879 -0.0000
404 -449.0987 -212.4078 -0.0000
405 -350.0262 -168.3458 377.9878
406 -341.8917 -185.4667 377.7515
407 -332.9442 -202.0975 377.5285
408 -376.5932 -158.0146 306.2392
409 -401.1244 -167.4774 214.9177
410 -429.1732 -178.4255 110.6864
411 -467.7558 -167.3659 -0.0000
412 -475.4038 -144.2122 -0.0000
413 -481.9081 -120.7116 -0.0000
414 -374.2526 -95.8790 378.8864
415 -369.4608 -114.4975 378.6839
416 -363.8199 -132.8142 378.4621
417 -398.9252 -80.6562 306.2392
418 -425.2590 -85.4444 214.9177
419 -455.3229 -90.9924 110.6864
420 -491.4194 -72.8953 -0.0000
421 -494.4035 -48.6945 -0.0000
422 -496.1981 -24.3765 -0.0000
423 -384.7719 -19.3790 379.3834
424 -383.4508 -38.7073 379.3157
425 -381.2542 -57.9338 379.2076
426 -406.4548 0.0000 306.2392
427 -433.4002 0.0000 214.9177
428 -464.1483 0.0000 110.6864
429 -496.1981 24.3765 -0.0000
430 -494.4034 48.6945 -0.0000
431 -491.4194 72.8953 -0.0000
432 -381.2542 57.9338 379.2076
433 -383.4508 38.7073 379.3157
434 -384.7719 19.3790 379.3834
435 -398.9252 80.6563 306.2392
436 -425.2590 85.4444 214.9177
437 -455.3229 90.9925 110.6864
438 -481.9082 120.7116 -0.0000
439 -475.4038 144.2122 -0.0000
440 -467.7557 167.3659 -0.0000
441 -363.8199 132.8142 378.4621
442 -369.4608 114.4975 378.6839
443 -374.2527 95.8790 378.8864
444 -376.5932 158.0146 306.2392
445 -401.1244 167.4774 214.9177
446 -429.1732 178.4255 110.6864
447 -449.0988 212.4078 -0.0000
448 -438.1347 234.1879 -0.0000
449 -426.1165 255.4045 -0.0000
450 -332.9442 202.0974 377.5285
451 -341.8917 185.4666 377.7515
